summoner_name,gameCreation,gameDuration,gameEndTimestamp,gameId,gameMode,gameName,gameStartTimestamp,gameType,gameVersion,mapId,platformId,queueId,tournamentCode,challenge_12AssistStreakCount,challenge_abilityUses,challenge_acesBefore15Minutes,challenge_alliedJungleMonsterKills,challenge_baronTakedowns,challenge_blastConeOppositeOpponentCount,challenge_bountyGold,challenge_buffsStolen,challenge_completeSupportQuestInTime,challenge_controlWardsPlaced,challenge_damagePerMinute,challenge_damageTakenOnTeamPercentage,challenge_dancedWithRiftHerald,challenge_deathsByEnemyChamps,challenge_dodgeSkillShotsSmallWindow,challenge_doubleAces,challenge_dragonTakedowns,challenge_earlyLaningPhaseGoldExpAdvantage,challenge_effectiveHealAndShielding,challenge_elderDragonKillsWithOpposingSoul,challenge_elderDragonMultikills,challenge_enemyChampionImmobilizations,challenge_enemyJungleMonsterKills,challenge_epicMonsterKillsNearEnemyJungler,challenge_epicMonsterKillsWithin30SecondsOfSpawn,challenge_epicMonsterSteals,challenge_epicMonsterStolenWithoutSmite,challenge_fastestLegendary,challenge_firstTurretKilled,challenge_flawlessAces,challenge_fullTeamTakedown,challenge_gameLength,challenge_getTakedownsInAllLanesEarlyJungleAsLaner,challenge_goldPerMinute,challenge_hadOpenNexus,challenge_highestChampionDamage,challenge_immobilizeAndKillWithAlly,challenge_initialBuffCount,challenge_initialCrabCount,challenge_jungleCsBefore10Minutes,challenge_junglerTakedownsNearDamagedEpicMonster,challenge_kTurretsDestroyedBeforePlatesFall,challenge_kda,challenge_killAfterHiddenWithAlly,challenge_killParticipation,challenge_killedChampTookFullTeamDamageSurvived,challenge_killingSprees,challenge_killsNearEnemyTurret,challenge_killsOnOtherLanesEarlyJungleAsLaner,challenge_killsOnRecentlyHealedByAramPack,challenge_killsUnderOwnTurret,challenge_killsWithHelpFromEpicMonster,challenge_knockEnemyIntoTeamAndKill,challenge_landSkillShotsEarlyGame,challenge_laneMinionsFirst10Minutes,challenge_laningPhaseGoldExpAdvantage,challenge_legendaryCount,challenge_lostAnInhibitor,challenge_maxCsAdvantageOnLaneOpponent,challenge_maxKillDeficit,challenge_maxLevelLeadLaneOpponent,challenge_mejaisFullStackInTime,challenge_moreEnemyJungleThanOpponent,challenge_multiKillOneSpell,challenge_multiTurretRiftHeraldCount,challenge_multikills,challenge_multikillsAfterAggressiveFlash,challenge_mythicItemUsed,challenge_outerTurretExecutesBefore10Minutes,challenge_outnumberedKills,challenge_outnumberedNexusKill,challenge_perfectDragonSoulsTaken,challenge_perfectGame,challenge_pickKillWithAlly,challenge_poroExplosions,challenge_quickCleanse,challenge_quickFirstTurret,challenge_quickSoloKills,challenge_riftHeraldTakedowns,challenge_saveAllyFromDeath,challenge_scuttleCrabKills,challenge_shortestTimeToAceFromFirstTakedown,challenge_skillshotsDodged,challenge_skillshotsHit,challenge_snowballsHit,challenge_soloBaronKills,challenge_soloKills,challenge_stealthWardsPlaced,challenge_survivedSingleDigitHpCount,challenge_survivedThreeImmobilizesInFight,challenge_takedownOnFirstTurret,challenge_takedowns,challenge_takedownsAfterGainingLevelAdvantage,challenge_takedownsBeforeJungleMinionSpawn,challenge_takedownsFirstXMinutes,challenge_takedownsInAlcove,challenge_takedownsInEnemyFountain,challenge_teamBaronKills,challenge_teamDamagePercentage,challenge_teamElderDragonKills,challenge_teamRiftHeraldKills,challenge_tookLargeDamageSurvived,challenge_turretPlatesTaken,challenge_turretTakedowns,challenge_turretsTakenWithRiftHerald,challenge_twentyMinionsIn3SecondsCount,challenge_twoWardsOneSweeperCount,challenge_unseenRecalls,challenge_visionScoreAdvantageLaneOpponent,challenge_visionScorePerMinute,challenge_wardTakedowns,challenge_wardTakedownsBefore20M,challenge_wardsGuarded,allInPings,assistMePings,assists,baitPings,baronKills,basicPings,bountyLevel,champExperience,champLevel,championId,championName,championTransform,commandPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,dangerPings,deaths,detectorWardsPlaced,doubleKills,dragonKills,eligibleForProgression,enemyMissingPings,enemyVisionPings,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,getBackPings,goldEarned,goldSpent,holdPings,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,needVisionPings,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,onMyWayPings,participantId,pentaKills,perks,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,pushPings,puuid,quadraKills,riotIdName,riotIdTagline,role,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerId,summonerLevel,summonerName,teamEarlySurrendered,teamId,teamPosition,timeCCingOthers,timePlayed,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionClearedPings,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,challenge_firstTurretKilledTime,challenge_highestCrowdControlScore
statfame,1685596376567,1043,1685597459731,4671809496,ARAM,teambuilder-match-4671809496,1685596415773,MATCHED_GAME,13.10.509.8402,12,NA1,450,,0,88,5,0,0,0,750,0,0,0,3486.5728146826978,0.19330564261886468,0,6,0,0,0,1,0.0,0,0,0,0,0,0,0,0,376.514123,0,2,23,1044.0962657999999,0,985.740082380151,0,1.0,0,0,0,0,0,1,9.333333333333334,11,0.8484848484848485,0,4,2,0,0,6,0,0,0,11,1,1,0,8,0,3,0,0,0,0,12,1,6691.0,0,10,0,0,0,27,0,0,0,0,0,0,0,5.349912399999994,3,0,0,0,0,0,0,0,0,56,0,3,46,0,0,0,0.4100198931434024,0,0,0,0,3,0,1,0,0,-1,0,0,0,0,0,0,27,0,0,0,6,19505,18,11,MasterYi,0,1,0,5115,5115,5115,20934,0,6,0,8,0,True,0,0,False,True,False,False,False,False,0,17153,15000,0,Invalid,0,1,0,6691,3006,3153,6672,6333,3077,0,13,7,29,NONE,499,9,4,304,4586,3466,4722,0,0,0,0,1,0,0,0,1,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8008, 'var1': 102, 'var2': 18, 'var3': 0}, {'perk': 9111, 'var1': 1858, 'var2': 560, 'var3': 0}, {'perk': 9104, 'var1': 3, 'var2': 50, 'var3': 0}, {'perk': 8014, 'var1': 1773, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8138, 'var1': 18, 'var2': 0, 'var3': 0}, {'perk': 8135, 'var1': 450, 'var2': 5, 'var3': 0}], 'style': 8100}]}",73519,42225,13454,18,0,oQhknfZTkQzbH6sx3Gj_E7IqwRB47znNIWaeOKvVb1sAbT-SlDXgNOscKiOyPlZuObKMbxTf2hal_A,1,,,SUPPORT,0,42,8,27,11,4,4,2,32,5VhyI6-x9D7Q3UOlxcqNDIrwaW8CxIlEocIJt65zPOPP-_z3,59,statfame,False,100,,1,1043,0,95125,60671,0,20269,0,6766,0,36,16,164,1,3,17019,14980,2093,3,3,1,0,0,0,0,0,0,True,N/A,N/A
Britney Phi,1685596376567,1043,1685597459731,4671809496,ARAM,teambuilder-match-4671809496,1685596415773,MATCHED_GAME,13.10.509.8402,12,NA1,450,,0,151,5,0,0,0,150,0,0,0,1397.7899111096506,0.31267956613476483,0,8,0,0,0,0,0.0,0,0,46,0,0,0,0,0,N/A,0,2,23,1044.0962657999999,0,772.2759069607239,0,N/A,16,0,0,0,0,0,7.125,9,0.8636363636363636,0,1,3,0,0,1,0,0,8,44,0,0,0,35,0,3,0,0,0,0,2,0,N/A,0,0,0,0,0,27,0,0,0,0,0,0,0,5.349912399999994,0,19,5,0,0,0,0,6,0,57,1,3,47,0,0,0,0.1643796646312872,0,0,0,0,2,0,2,0,0,-1,0,0,0,0,0,0,46,0,0,0,2,19316,18,32,Amumu,0,0,0,3039,3039,3039,41368,0,8,0,2,0,True,0,0,True,False,False,False,False,False,0,13438,11500,0,Invalid,0,0,0,3068,3111,3083,3075,3105,3067,2052,16,3,11,NONE,29,4,2,171,44819,19553,10147,0,0,0,0,1,0,0,0,2,0,"{'statPerks': {'defense': 5001, 'flex': 5002, 'offense': 5007}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8437, 'var1': 1238, 'var2': 1065, 'var3': 0}, {'perk': 8446, 'var1': 1662, 'var2': 0, 'var3': 0}, {'perk': 8429, 'var1': 54, 'var2': 16, 'var3': 12}, {'perk': 8451, 'var1': 298, 'var2': 0, 'var3': 0}], 'style': 8400}, {'description': 'subStyle', 'selections': [{'perk': 8321, 'var1': 0, 'var2': 0, 'var3': 0}, {'perk': 8347, 'var1': 0, 'var2': 0, 'var3': 0}], 'style': 8300}]}",7819,2333,20689,3379,0,etwMBF3qJDn38fO6g84yFw80khdzl81J5djIhGX6HH8qY-joBjnuc6IupWL82FSGfNoGGvW6Zg9VcA,0,,,DUO,0,36,44,65,6,7,32,2,4,ke_ahuGvxq5zuanZZhYy4fBtKCYFUFTi_kg1IrqpMTYlSUo,228,Britney Phi,False,100,,36,1043,0,55197,24323,0,32786,0,2625,0,62,79,182,1,0,2558,2436,1950,1,2,1,0,0,0,0,0,0,True,N/A,N/A
sinaray,1685596376567,1043,1685597459731,4671809496,ARAM,teambuilder-match-4671809496,1685596415773,MATCHED_GAME,13.10.509.8402,12,NA1,450,,1,139,5,0,0,0,0,0,0,0,1206.0815421173209,0.19608677796448362,0,7,0,0,0,0,466.0,0,0,0,0,0,0,0,0,N/A,0,2,23,1044.0962657999999,0,727.6397794415903,0,N/A,0,0,0,0,0,0,7.142857142857143,6,0.7575757575757576,0,1,0,0,0,1,0,0,44,17,0,0,0,27,0,3,0,0,0,0,1,0,N/A,0,0,0,0,0,25,0,0,0,0,0,0,0,7.914228299999991,2,107,0,0,0,0,0,0,0,50,0,3,44,0,0,0,0.1418348192639649,0,0,0,0,1,0,2,0,0,-1,0,0,0,0,0,0,44,0,0,0,0,17674,17,15,Sivir,0,1,0,1760,1760,1760,12148,0,7,0,1,0,True,0,0,True,False,False,False,False,False,0,12662,12600,0,Invalid,1,1,0,3184,3006,3072,6672,6675,3123,2052,16,1,6,NONE,426,3,2,238,2876,1316,7110,0,0,0,0,0,0,0,0,3,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8008, 'var1': 83, 'var2': 9, 'var3': 0}, {'perk': 8009, 'var1': 3898, 'var2': 0, 'var3': 0}, {'perk': 9103, 'var1': 5, 'var2': 0, 'var3': 0}, {'perk': 8014, 'var1': 590, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8139, 'var1': 1032, 'var2': 0, 'var3': 0}, {'perk': 8135, 'var1': 450, 'var2': 5, 'var3': 0}], 'style': 8100}]}",66468,19532,12575,5474,0,e9WvvDfy9Nn4Nb_PncQc_x26o_SrbSs3In05PHXGd-x2ITJp6sxlK5x5I8dSuRFtYeyajkU1qeJDYg,0,,,SUPPORT,0,65,46,21,7,5,4,6,7,mv8pFFbA9Ogr5tEBUjwpGBlMI3oPk5gtdh8kn3XAYVLIJ3mN,460,sinaray,False,100,,0,1043,0,69484,20987,0,20560,0,6858,466,54,0,180,4,0,138,138,875,0,1,1,0,0,0,0,0,0,True,N/A,N/A
Skleexn,1685596376567,1043,1685597459731,4671809496,ARAM,teambuilder-match-4671809496,1685596415773,MATCHED_GAME,13.10.509.8402,12,NA1,450,,0,126,5,0,0,0,150,0,0,0,1027.2077251212404,0.16839418840707884,0,7,0,0,0,1,0.0,0,0,15,0,0,0,0,0,297.97734199999996,0,2,23,1044.0962657999999,0,764.8971984224388,0,N/A,8,0,0,0,0,0,5.857142857142857,5,0.6212121212121212,0,2,2,0,0,6,0,0,13,7,0,1,0,0,0,2,0,0,0,0,5,0,6655.0,0,1,0,0,0,19,0,0,0,0,0,0,0,5.349912399999994,0,22,0,0,0,0,0,0,0,41,1,3,38,0,0,0,0.12079931327308832,0,0,0,0,2,0,0,0,0,-1,0,0,0,0,0,0,24,0,0,0,0,15878,16,7,Leblanc,0,0,2,1177,1177,1177,15111,0,7,0,4,0,True,0,0,True,False,False,False,False,False,1,13310,12500,0,Invalid,0,1,0,6655,3157,4645,3020,4630,1026,2052,14,3,17,NONE,0,10,3,357,21188,14799,7285,0,0,0,0,0,0,0,0,4,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8128, 'var1': 1255, 'var2': 27, 'var3': 0}, {'perk': 8139, 'var1': 823, 'var2': 0, 'var3': 0}, {'perk': 8138, 'var1': 30, 'var2': 0, 'var3': 0}, {'perk': 8135, 'var1': 450, 'var2': 5, 'var3': 0}], 'style': 8100}, {'description': 'subStyle', 'selections': [{'perk': 8009, 'var1': 2983, 'var2': 0, 'var3': 0}, {'perk': 8014, 'var1': 670, 'var2': 0, 'var3': 0}], 'style': 8000}]}",3888,2047,9203,4881,0,AKOrvzq2VNYS3mERZmIiMFSt3HUf5q-zdBhToHQ70WQQZER2AKwbMrgbI4AZhllLGf5bxEacTR3j_g,0,,,SUPPORT,0,31,55,30,10,4,21,4,4,DSVPs3ptn5xSakOTzxeTlgcQBYBABkos0BmrNzjRtEtvhqFA,34,Skleexn,False,100,,17,1043,0,26117,17875,0,17657,0,2323,0,12,66,190,1,1,1040,1027,1167,0,2,1,0,0,0,0,0,0,True,N/A,N/A
iamDerkie,1685596376567,1043,1685597459731,4671809496,ARAM,teambuilder-match-4671809496,1685596415773,MATCHED_GAME,13.10.509.8402,12,NA1,450,,3,160,5,0,0,0,150,0,0,0,1385.771555404791,0.12953382487480802,0,6,0,0,0,0,5251.41064453125,0,0,35,0,0,0,0,0,N/A,0,2,23,1044.0962657999999,0,700.6447493093314,0,N/A,12,0,0,0,0,1,9.5,8,0.8636363636363636,0,0,0,0,0,0,0,0,63,25,0,0,0,20,0,3,0,0,0,0,0,0,6653.0,0,1,0,0,0,28,0,0,0,0,0,0,0,5.349912399999994,0,141,0,0,0,0,0,2,1,57,0,3,47,0,0,0,0.16296630968825715,0,0,0,0,3,0,1,0,0,-1,0,0,0,0,0,2,54,0,0,0,2,19154,18,147,Seraphine,0,1,0,1146,1146,1146,7737,0,6,0,0,0,True,0,0,True,False,False,False,False,False,0,12192,9050,0,Invalid,0,0,0,6653,3020,3040,3108,3113,0,2052,11,1,3,NONE,0,2,1,304,51998,21139,5666,0,0,1,0,1,0,0,1,5,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5008}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8128, 'var1': 1114, 'var2': 23, 'var3': 0}, {'perk': 8126, 'var1': 892, 'var2': 0, 'var3': 0}, {'perk': 8138, 'var1': 30, 'var2': 0, 'var3': 0}, {'perk': 8106, 'var1': 5, 'var2': 0, 'var3': 0}], 'style': 8100}, {'description': 'subStyle', 'selections': [{'perk': 8009, 'var1': 6699, 'var2': 0, 'var3': 0}, {'perk': 8014, 'var1': 536, 'var2': 0, 'var3': 0}], 'style': 8000}]}",3120,1574,7186,4794,0,LI05YlhJdCr1TjrhqelOmyfYMb3RhyGgBxH-VMkJG2AMMc26Dom-3xOFYZL2eBBb-5bCGhfjca8efQ,0,,,SUPPORT,0,73,26,55,6,3,4,7,3,6UIiMARqSh9Vs1jzZkXhzbqH4QzstBnmebqpcJ_XcblcLJ0,131,iamDerkie,False,100,,54,1043,0,56557,24114,3376,13582,0,4177,1874,48,252,140,5,0,1437,1400,730,0,3,1,0,0,0,0,0,0,True,N/A,N/A
ClumsyOaf,1685596376567,1043,1685597459731,4671809496,ARAM,teambuilder-match-4671809496,1685596415773,MATCHED_GAME,13.10.509.8402,12,NA1,450,,0,256,1,0,0,0,1350,0,0,0,1109.5193028488466,0.22870824762513667,0,17,7,0,0,0,0.0,0,0,36,0,0,0,0,0,N/A,1,0,8,1044.0962657999999,0,661.9480435926965,0,N/A,6,0,0,0,0,0,1.1764705882352942,1,0.5882352941176471,0,0,3,0,0,0,0,0,7,21,0,0,0,11,0,0,0,0,0,0,1,0,6665.0,0,3,0,0,0,14,0,0,0,0,0,0,0,22.69353669999998,39,20,7,0,0,0,0,0,0,20,0,1,20,0,0,0,0.2004227686165228,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,14,0,0,0,0,14108,15,157,Yasuo,0,0,0,0,0,0,44163,0,17,0,1,0,True,0,0,False,False,False,False,False,False,0,11518,11700,0,Invalid,0,0,1,6333,3006,6673,6665,0,0,0,21,1,6,NONE,438,2,2,96,8582,3529,14006,0,0,0,1,0,0,0,0,6,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8008, 'var1': 28, 'var2': 5, 'var3': 0}, {'perk': 9111, 'var1': 857, 'var2': 200, 'var3': 0}, {'perk': 9104, 'var1': 8, 'var2': 20, 'var3': 0}, {'perk': 8299, 'var1': 662, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8473, 'var1': 339, 'var2': 0, 'var3': 0}, {'perk': 8242, 'var1': 140, 'var2': 0, 'var3': 0}], 'style': 8400}]}",41959,14938,17944,4834,0,PfjMajrdMZ6Zt8qny1U0tSEnw2peP_dVubbtrc1aJJ5H_g47-sHapKzl2dp-jqSqxvV9HyZBcW4npw,0,,,SUPPORT,0,133,21,94,8,26,32,4,4,t-ObTmJcZ-sTdNgKEYc7Ogx6okFEPYbf9jjDnxe6gkB2T_YN,938,ClumsyOaf,False,200,,28,1043,0,51706,19307,0,36926,0,3820,0,28,58,358,1,0,1165,840,4974,0,0,4,0,0,0,0,0,0,False,373.8813183,N/A
0o Chug oO,1685596376567,1043,1685597459731,4671809496,ARAM,teambuilder-match-4671809496,1685596415773,MATCHED_GAME,13.10.509.8402,12,NA1,450,,0,96,1,0,0,0,1275,0,0,0,1150.399603016663,0.15505561483216065,0,13,6,0,0,0,0.0,0,0,6,0,0,0,0,0,N/A,1,0,8,1044.0962657999999,0,735.7716063950605,0,N/A,2,0,0,0,0,1,1.9230769230769231,1,0.7352941176470589,0,0,1,0,0,4,0,2,0,32,0,0,0,33,0,1,0,0,0,0,1,0,N/A,0,2,0,0,0,16,0,0,1,0,0,0,0,22.69353669999998,35,0,3,0,1,0,0,0,0,25,0,1,22,0,0,0,0.20780735662726824,0,0,0,0,1,0,2,0,0,-1,0,0,0,0,0,0,19,0,0,0,0,15300,16,18,Tristana,0,0,2,2130,2130,2130,15818,0,13,0,1,0,True,0,0,False,False,True,False,False,False,0,12803,11800,0,Invalid,0,0,1,6672,3006,6676,3031,3105,0,2052,18,1,6,NONE,518,2,2,150,10568,3087,8266,0,0,0,1,0,0,0,0,7,0,"{'statPerks': {'defense': 5001, 'flex': 5008, 'offense': 5008}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8112, 'var1': 822, 'var2': 0, 'var3': 0}, {'perk': 8139, 'var1': 1033, 'var2': 0, 'var3': 0}, {'perk': 8138, 'var1': 18, 'var2': 0, 'var3': 0}, {'perk': 8135, 'var1': 450, 'var2': 5, 'var3': 0}], 'style': 8100}, {'description': 'subStyle', 'selections': [{'perk': 8233, 'var1': 6, 'var2': 40, 'var3': 0}, {'perk': 8236, 'var1': 14, 'var2': 0, 'var3': 0}], 'style': 8200}]}",51169,16553,13891,5764,0,Pugp1PhIcp8PXGCqFkzApuyCtwwWiePVvVhjwi6kCaV3mIOf5hwmrrt-VyjXhD2g0RqU74z14CFNEQ,0,,,SUPPORT,0,30,23,38,5,2,4,9,32,Qv8ITxpzX3FUkorZmf81XQigOFqOhfkj9O7Mr8yYr8OSaY0,451,0o Chug oO,False,200,,5,1043,0,62300,20018,0,25034,0,1445,0,60,16,296,1,0,562,377,2876,0,1,4,0,0,0,0,0,0,False,373.8813183,N/A
Hyperion75,1685596376567,1043,1685597459731,4671809496,ARAM,teambuilder-match-4671809496,1685596415773,MATCHED_GAME,13.10.509.8402,12,NA1,450,,0,95,1,0,0,0,300,0,0,0,1116.335866292876,0.19610426532922967,0,11,7,0,0,0,456.6086730957031,0,0,37,0,0,0,0,0,N/A,1,0,8,1044.0962657999999,0,624.2259584063537,0,N/A,10,0,0,0,0,1,2.1818181818181817,3,0.7058823529411765,1,0,2,0,1,1,0,7,1,11,0,0,0,7,0,1,0,0,0,0,0,0,6665.0,0,0,0,0,0,17,0,0,1,0,0,0,0,22.69353669999998,40,3,12,0,1,0,0,1,1,24,0,1,22,0,0,0,0.2016541077328362,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,18,0,0,0,0,15349,16,78,Poppy,0,0,0,285,285,285,62656,0,11,0,0,0,True,0,0,False,False,False,True,False,False,0,10862,9300,0,Invalid,0,0,1,6665,2031,3068,4401,1033,0,2052,13,2,6,NONE,0,2,1,150,13303,7367,10777,0,0,0,1,0,0,0,0,8,0,"{'statPerks': {'defense': 5003, 'flex': 5002, 'offense': 5007}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8439, 'var1': 1425, 'var2': 1595, 'var3': 0}, {'perk': 8463, 'var1': 1365, 'var2': 0, 'var3': 0}, {'perk': 8473, 'var1': 541, 'var2': 0, 'var3': 0}, {'perk': 8242, 'var1': 88, 'var2': 0, 'var3': 0}], 'style': 8400}, {'description': 'subStyle', 'selections': [{'perk': 8210, 'var1': 20, 'var2': 0, 'var3': 0}, {'perk': 8224, 'var1': 786, 'var2': 0, 'var3': 0}], 'style': 8200}]}",18616,10939,15638,4654,0,btAGQV2c_j5esCzuLu8RevGsNdqEf2PhNYztCaUrwCtR9Zv81_uryTa--ZK5V5x-vesQxcou0caJrA,0,,,SUPPORT,0,50,21,16,8,23,32,4,4,CbuF8ZrTi9hpobU1fC1lrEusRApxHgW7j7tcvJyWnArui8Y,206,Hyperion75,False,200,,32,1043,0,33228,19426,0,31662,0,5123,456,28,166,236,5,0,1309,1119,5245,1,1,4,0,0,0,0,0,0,False,373.8813183,N/A
JUSTBOWSlE,1685596376567,1043,1685597459731,4671809496,ARAM,teambuilder-match-4671809496,1685596415773,MATCHED_GAME,13.10.509.8402,12,NA1,450,,0,119,1,0,0,0,600,0,0,0,699.0202134015237,0.27452633078465033,0,13,9,0,0,0,0.0,0,0,0,0,0,0,0,0,N/A,1,0,8,1044.0962657999999,0,673.6015689833148,0,N/A,0,0,0,0,0,1,1.4615384615384615,1,0.5588235294117647,3,0,2,0,0,1,0,0,0,19,0,0,0,12,0,0,0,0,0,0,1,0,3084.0,0,4,0,0,0,11,0,0,1,0,0,0,0,22.69353669999998,53,0,4,0,1,0,0,0,0,19,0,0,17,0,0,0,0.1262705084347074,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,10,0,0,0,0,14541,15,86,Garen,0,0,0,807,807,807,55438,0,13,0,1,0,True,1,0,False,False,True,False,False,False,1,11721,12000,0,Invalid,0,0,1,3084,4401,3111,3083,1031,0,2052,19,1,9,NONE,0,2,2,142,1121,1059,16171,0,0,0,1,0,0,0,0,9,0,"{'statPerks': {'defense': 5002, 'flex': 5002, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8437, 'var1': 1285, 'var2': 802, 'var3': 0}, {'perk': 8446, 'var1': 220, 'var2': 0, 'var3': 0}, {'perk': 8429, 'var1': 54, 'var2': 13, 'var3': 13}, {'perk': 8451, 'var1': 271, 'var2': 0, 'var3': 0}], 'style': 8400}, {'description': 'subStyle', 'selections': [{'perk': 9105, 'var1': 10, 'var2': 30, 'var3': 0}, {'perk': 9111, 'var1': 1114, 'var2': 190, 'var3': 0}], 'style': 8000}]}",26040,7586,23242,3183,0,YhrBeQgLNnhun8IgD79VoyiiYT78xMr4mbgJVodpYCXfvrYTgyGBQxXZqwX_tDDOVKivKPAeHu7Jbw,0,,,SUPPORT,0,27,19,63,10,9,32,3,4,9aQvK_B4DzSdtSvsG6zq6UR3adzyzP6sZuUN4MQejATNsoI5,138,JUSTBOWSlE,False,200,,25,1043,0,34624,12164,0,44323,0,2174,0,30,35,280,1,0,7462,3517,4909,0,1,4,0,0,0,0,0,0,False,373.8813183,N/A
JUSTPEACHlE,1685596376567,1043,1685597459731,4671809496,ARAM,teambuilder-match-4671809496,1685596415773,MATCHED_GAME,13.10.509.8402,12,NA1,450,,0,135,1,0,0,0,300,0,0,0,1460.6195163853063,0.14560554142882268,0,12,8,0,0,0,0.0,0,0,14,0,0,0,0,0,N/A,1,0,8,1044.0962657999999,0,648.7936126868676,0,N/A,5,0,0,0,0,0,1.9166666666666667,2,0.6764705882352942,0,1,3,0,0,0,0,0,0,21,0,0,0,17,0,1,0,0,0,0,2,0,6655.0,0,2,0,0,0,14,0,0,0,0,0,0,0,N/A,43,0,9,0,2,0,1,0,0,23,0,0,22,0,0,0,0.26384525858866537,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,16,0,0,0,0,15544,16,54,Malphite,0,0,2,642,642,642,24212,0,12,0,2,0,True,1,0,False,False,False,False,False,False,0,11290,10950,0,Invalid,0,0,1,6655,4637,3089,3145,0,0,2052,13,2,7,NONE,0,3,2,158,46260,19887,11052,0,0,0,1,0,0,0,0,10,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5008}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8128, 'var1': 1015, 'var2': 17, 'var3': 0}, {'perk': 8139, 'var1': 828, 'var2': 0, 'var3': 0}, {'perk': 8138, 'var1': 30, 'var2': 0, 'var3': 0}, {'perk': 8106, 'var1': 5, 'var2': 0, 'var3': 0}], 'style': 8100}, {'description': 'subStyle', 'selections': [{'perk': 8224, 'var1': 1162, 'var2': 0, 'var3': 0}, {'perk': 8237, 'var1': 451, 'var2': 0, 'var3': 0}], 'style': 8200}]}",14614,4585,10449,3583,0,WAZFA9hooERahEKcUaDDLTnG7xTrSjm8FmjYRBg_D7QYMTQk4uR0zi6elakEZEug4bKdmis9S_u_TQ,0,,,SUPPORT,0,32,37,57,9,5,4,24,32,QNjLYBDOCY66IgicddwVJ7Rf7X-h3RuMbd4y5Ppjz1vbNnc,131,JUSTPEACHlE,False,200,,29,1043,0,62069,25417,0,23508,0,1255,0,40,337,260,1,0,1194,944,2006,0,0,4,0,0,0,0,0,0,False,373.8813183,1.0
